Fold,Class,Train Acc,Test Acc,Precision,Recall
1,Iris-setosa,0.7407407407407407,0.6666666666666666,0.0,0.0
1,Iris-versicolor,0.6203703703703703,0.7,0.0,0.0
1,Iris-virginica,0.3611111111111111,0.36666666666666664,0.36666666666666664,1.0
2,Iris-setosa,0.7685185185185185,0.5666666666666667,0.0,0.0
2,Iris-versicolor,0.6296296296296297,0.6666666666666666,0.0,0.0
2,Iris-virginica,0.39814814814814814,0.23333333333333334,0.23333333333333334,1.0
3,Iris-setosa,0.7592592592592593,0.6,0.0,0.0
3,Iris-versicolor,0.6296296296296297,0.6666666666666666,0.0,0.0
3,Iris-virginica,0.3888888888888889,0.26666666666666666,0.26666666666666666,1.0
4,Iris-setosa,0.7222222222222222,0.7666666666666667,1.0,0.125
4,Iris-versicolor,0.6296296296296297,0.6666666666666666,0.0,0.0
4,Iris-virginica,0.35185185185185186,0.43333333333333335,0.41379310344827586,1.0
5,Iris-setosa,0.75,0.7666666666666667,0.0,0.0
5,Iris-versicolor,0.6388888888888888,0.6333333333333333,0.0,0.0
5,Iris-virginica,0.3888888888888889,0.4,0.4,1.0
